"Part";"Value";"Device";"Package";"Description";"";
"P1";"PTV09A-2020F-A103";"PTV09A-2020F-A103";"PTV09A-2020F";"";"";
"PAN-POT";"CHEAP-POT";"CHEAP-POT";"CHEAP-POT";"Basic Potentiometer";"";
"PWR-SW";"PWR-BREAKOUTSMALL";"PWR-BREAKOUTSMALL";"PWR-BR-SM";"";"";
"Q1";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q2";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q3";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q4";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q5";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q6";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q7";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q8";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q9";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q10";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q11";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q12";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q13";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q14";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q15";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q16";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q17";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q18";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q19";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q20";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q21";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q22";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q23";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q24";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q25";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q26";"CPH3348-TL-W";"CPH3348-TL-W";"SOT95P280X120-3N";"12V P Ch MOSFET";"";
"Q27";"PNP";"PNP_SOT23";"SOT95P237X112-3N";"PNP - Generic";"";
"Q28";"PNP";"PNP_SOT23";"SOT95P237X112-3N";"PNP - Generic";"";
"Q29";"MMBT2222A-TPSOT-23-HS";"MMBT2222A-TPSOT-23-HS";"SOT95P237X112-3N--HS--__TYPICAL_SOT-23_";"";"";
"Q30";"MMBT2222A-TPSOT-23-HS";"MMBT2222A-TPSOT-23-HS";"SOT95P237X112-3N--HS--__TYPICAL_SOT-23_";"";"";
"Q31";"MMBT2222A-TPSOT-23-HS";"MMBT2222A-TPSOT-23-HS";"SOT95P237X112-3N--HS--__TYPICAL_SOT-23_";"";"";
"Q32";"MMBT2222A-TPSOT-23-HS";"MMBT2222A-TPSOT-23-HS";"SOT95P237X112-3N--HS--__TYPICAL_SOT-23_";"";"";
"Q33";"MMBT2222A-TPSOT-23-HS";"MMBT2222A-TPSOT-23-HS";"SOT95P237X112-3N--HS--__TYPICAL_SOT-23_";"";"";
"Q34";"MMBT2222A-TPSOT-23-HS";"MMBT2222A-TPSOT-23-HS";"SOT95P237X112-3N--HS--__TYPICAL_SOT-23_";"";"";
"R1";"4.7K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R2";"4.7K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R3";"7K5";"RESISTOR1206";"RESC3216X70N";"";"";
"R4";"2K4";"RESISTOR1206";"RESC3216X70N";"";"";
"R5";"200";"RESISTOR1206";"RESC3216X70N";"";"";
"R6";"60m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R7";"60m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R8";"60m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R9";"60m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R10";"60m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R11";"60m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R12";"60m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R13";"60m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R14";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R15";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R16";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R17";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R18";"240";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R19";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R20";"240";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R21";"240";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R22";"240";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R23";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R24";"240";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R25";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R26";"2K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R27";"2K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R28";"ALQ112";"ALQ112";"ALQ112";"";"";
"R29";"10K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R30";"200";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R31";"200";"RESISTOR1206";"RESC3216X70N";"";"";
"R32";"10";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R33";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R34";"200";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R35";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R36";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R37";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R38";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R39";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R40";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R41";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R42";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R43";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R44";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R45";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R46";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R47";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R48";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R49";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R50";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R51";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R52";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R53";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R54";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R55";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R56";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R57";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R58";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R59";"200";"RESISTOR1206";"RESC3216X70N";"";"";
"R60";"200";"RESISTOR1206";"RESC3216X70N";"";"";
"R61";"200";"RESISTOR1206";"RESC3216X70N";"";"";
"R62";"200";"RESISTOR1206";"RESC3216X70N";"";"";
"R63";"10K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R64";"47K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R65";"120";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R66";"120";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R67";"120";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R68";"120";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R69";"120";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R70";"120";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R71";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R72";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R73";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R74";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R75";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R76";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R77";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R78";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R79";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R80";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R81";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R82";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"RST-SW";"B3F-1000";"B3F-1000";"B3F-10-SERIES";"";"";
"TP1";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP2";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP3";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP4";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP5";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP6";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP7";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP8";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP9";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP10";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP11";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP12";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP13";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP14";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP15";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP16";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP17";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
"TP18";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";
