"Part";"Value";"Device";"Package";"Description";"";
"D8";"2PLCC-LED";"2PLCC-LED";"LEDC3528X190N";"SMD LED";"";
"D9";"2PLCC-LED";"2PLCC-LED";"LEDC3528X190N";"SMD LED";"";
"D10";"LL4148-CHAN";"LL4148-CHAN";"DIOMELF3516";"SMD Switching";"";
"D11";"SS14-CHAN";"SS14-CHAN";"SS14-CHAN";"SMD Schottky";"";
"D12";"SDMK0340LSOD-323";"SDMK0340LSOD-323";"SOD2412X120N";"";"";
"D13";"SS16-CHAN";"SS16-CHAN";"M1-CHAN";"SMD Schottky";"";
"DN1";"LTA-1000HR";"LTA-1000HR";"LTA-1000HR";"LED Bar Graph";"";
"DS1";"1602A-LCD";"1602A-LCD";"1602A-LCD";"16-Char 2-Line Character LCD Screen";"";
"F1";"3557-10";"3557-10";"3557-10";"";"";
"FILTER-J1";"PINHD-1X6";"PINHD-1X6";"1X06";"PIN HEADER";"";
"FILTER-J2";"PINHD-1X4";"PINHD-1X4";"1X04";"PIN HEADER";"";
"HOME-SW";"ILS-TB180-60";"ILS-TB180-60";"ILS-TB";"Illuminated Switch";"";
"ICSP-J";"PINHD-2X3/90";"PINHD-2X3/90";"2X03/90";"PIN HEADER";"";
"J1";"KLDX-0202-A-BJACK";"KLDX-0202-A-BJACK";"KLDX-0202-A-HZ-BJACK";"Barrel Jack";"";
"J2";"KLDX-0202-A-BJACK";"KLDX-0202-A-BJACK";"KLDX-0202-A-HZ-BJACK";"Barrel Jack";"";
"J3";"D-SUB-37";"D-SUB-37";"D-SUB-37";"";"";
"J4";"SJ-43515RS-SMT-TR";"SJ-43515RS-SMT-TR";"SJ-43515RS-SMT-TR";"1/8 Headphone Jack";"";
"K1";"DIN-5";"DIN-5";"57PC5FS";"";"";
"K2";"E3FRAQG-XLR-FEMALE";"E3FRAQG-XLR-FEMALE";"E3FRA-XLR-F";"";"";
"K3";"AGQ200S4HZ-RELAY";"AGQ200S4HZ-RELAY";"AGQ200S4HZ-SMD";"4.5V Telecom Relay";"";
"L1";"SLF10145";"SLF10145";"SLF10145";"";"";
"L2";"10uH";"L_MOLDED-1210(3225-METRIC)";"INDM3225X240";"Inductor Fixed - Generic";"";
"L3";"22uH";"PA4341";"PA4341";"";"";
"M-DOWN-SW";"ILS-TB180-60";"ILS-TB180-60";"ILS-TB";"Illuminated Switch";"";
"M-UP-SW";"ILS-TB180-60";"ILS-TB180-60";"ILS-TB";"Illuminated Switch";"";
"MODE-SW";"ILS-TB180-60";"ILS-TB180-60";"ILS-TB";"Illuminated Switch";"";
"OP1";"PC817";"PC817";"DIP762W51P254L458H450Q4B";"Opto Isolator";"";
