Designator,Mid X,Mid Y,Rotation,Layer
R16,29.65,-16.45,270.0,top
R17,29.15,-17.95,180.0,top
R18,51.9,-14.465,0.0,top
R19,22.549999,-28.1825,180.0,top
R2,-5.2,-27.95,45.0,bottom
R20,19.25,-29.55,0.0,top
R21,21.05,-27.6,90.0,top
R22,19.25,-30.6,180.0,top
R23,15.7,-35.650001,0.0,top
R24,8.550001,-7.75,135.0,top
R25,41.9,0.0,0.0,bottom
R26,9.2,8.75,270.0,top
R27,12.85,10.7875,0.0,top
R28,11.1,8.7,270.0,top
R29,-31.35,10.7,180.0,top
R3,8.5,-14.2,225.0,bottom
R30,-39.0,8.5,90.0,top
R31,-47.1,12.1,0.0,top
R32,-47.1,15.1,0.0,top
R33,-47.1,13.1,0.0,top
R34,-31.35,11.7,180.0,top
R35,-38.8,15.7,270.0,top
R36,-30.649999,-15.1,90.0,bottom
R37,-33.449999,-15.1,90.0,bottom
R38,-37.95,8.5,270.0,top
R39,-47.1,11.1,180.0,top
R4,-39.15,-25.25,90.0,top
R40,-47.1,16.1,180.0,top
R41,-47.1,14.1,180.0,top
R42,-42.6,-4.85,270.0,bottom
R43,-41.6,-4.85,270.0,bottom
R44,-50.9,-13.35,90.0,top
R45,-47.1,-17.95,270.0,top
R46,-47.1,-16.0,270.0,top
R49,-50.9,-5.35,90.0,top
R5,-2.1,-11.6,225.0,top
R50,-47.1,-9.95,270.0,top
R51,-47.1,-8.0,270.0,top
R52,19.6,24.05,90.0,bottom
R53,21.55,24.05,90.0,bottom
R54,23.5,24.05,90.0,bottom
R55,25.45,24.05,90.0,bottom
R56,19.25,25.55,180.0,bottom
R57,21.2,25.55,180.0,bottom
R58,23.15,25.55,180.0,bottom
R59,25.1,25.55,180.0,bottom
R6,-2.8,-10.9,45.0,top
R60,11.8,24.05,90.0,bottom
R61,13.75,24.05,90.0,bottom
R62,15.7,24.05,90.0,bottom
R63,17.65,24.05,90.0,bottom
R64,11.45,25.55,180.0,bottom
R65,13.4,25.55,180.0,bottom
R66,15.35,25.55,180.0,bottom
R67,17.3,25.55,180.0,bottom
R68,4.0,24.05,90.0,bottom
R69,5.95,24.05,90.0,bottom
R7,14.482287,-24.867713,135.0,top
R70,7.9,24.05,90.0,bottom
R71,9.85,24.05,90.0,bottom
R72,3.65,25.55,180.0,bottom
R73,5.6,25.55,180.0,bottom
R74,7.55,25.55,180.0,bottom
R75,9.5,25.55,180.0,bottom
R76,-3.8,24.05,90.0,bottom
R77,-1.85,24.05,90.0,bottom
R78,0.1,24.05,90.0,bottom
R79,2.05,24.05,90.0,bottom
R8,15.2,-24.15,135.0,top
R80,-4.15619,25.55,180.0,bottom
R81,-2.205,25.55,180.0,bottom
R82,-0.25,25.55,180.0,bottom
R83,1.7,25.55,180.0,bottom
R84,-11.6,24.05,90.0,bottom
R85,-9.65,24.05,90.0,bottom
R86,-7.7,24.05,90.0,bottom
R87,-5.75,24.05,90.0,bottom
R88,-11.95,25.55,180.0,bottom
R89,-10.0,25.55,180.0,bottom
R9,7.465,-35.399999,270.0,top
R90,-8.05,25.55,180.0,bottom
R91,-6.1,25.55,180.0,bottom
R92,-19.4,24.05,90.0,bottom
R93,-17.45,24.05,90.0,bottom
R94,-15.5,24.05,90.0,bottom
R95,-13.55,24.05,90.0,bottom
R96,-19.75,25.55,180.0,bottom
R97,-17.8,25.55,180.0,bottom
R98,-15.85,25.55,180.0,bottom
R99,-13.9,25.55,180.0,bottom
RV1,17.25,-33.15,180.0,top
STM1,5.0,-18.0,225.0,top
SW1,-41.2,-26.0,270.0,top
TP1,-30.000001,-36.4,270.0,top
TP2,-16.15,-14.45,90.0,top
TP3,-34.0,-31.0,90.0,top
TP4,-12.0,-5.95,0.0,top
TPA1,39.5,28.5,0.0,top
TPA2,51.0,17.0,0.0,top
TPA4,46.0,17.0,0.0,top
TPA5,39.5,23.5,0.0,top
TPA7,42.75,20.25,0.0,top
U1,-24.5,24.15,90.0,bottom
U10,5.0,14.5,0.0,bottom
U11,-10.0,14.5,0.0,bottom
U2,30.1,-20.5,90.0,top
U3,46.95,-15.1,180.0,top
U4,22.05,-30.9825,270.0,top
U5,-9.0,1.5,0.0,top
U6,4.5,1.5,0.0,top
U7,13.3,9.0,0.0,top
U8,-40.4,12.05,180.0,top
U9,20.5,14.5,0.0,bottom
Y1,13.485281,-8.241926,135.0,top
Y2,16.5,-11.25,315.0,top
